"MW","AMW","Sv","Se","Sp","Ss","Mv","Me","Mp","Ms","nAT","nSK","nBT","nBO","nBM","SCBO","nCIC","nCIR","RBN","RBF","nDB","nTB","nAB","nH","nC","nN","nO","nS","nF","nCL","nBR","nI","nX","nR03","nR05","nR06","nR07","nR08","nR09","nR10","nR11","nR12","nBnz","ISIZ","IAC","AAC","ZM1","ZM1V","ZM2","ZM2V","Qindex","SNar","HNar","GNar","Xt","Dz","Ram","Pol","LPRS","VDA","MSD","SMTI","SMTIV","GMTI","GMTIV","Xu","SPI","W","WA","RDSUM","Har","QW","TI1","TI2","HyDp","RHyDp","w_","ww","Rww","D.D","Wap","WhetZ","Whetm","Whetv","Whete","Whetp","J","JhetZ","Jhetm","Jhetv","Jhete","Jhetp","MAXDN","MAXDP","DELS","TIE","X0","X1","X2","X3","X4","X5","X0A","X1A","X2A","X3A","X4A","X5A","X0v","X1v","X2v","X3v","X4v","X5v","X0Av","X1Av","X2Av","X3Av","X4Av","X5Av","X0sol","X1sol","X2sol","X3sol","X4sol","X5sol","XMOD","RDCHI","RDSQ","S0K","S1K","S2K","S3K","PHI","BLI","PW2","PW3","PW4","PW5","PJI2","CSI","ECC","AECC","DECC","MDDD","UNIP","CENT","VAR","BAC","Lop","ICR","IDE","IDM","IDDE","IDDM","IDET","IDMT","IVDE","IVDM","HVcpx","HDcpx","Uindex","Vindex","Xindex","Yindex","IC0","TIC0","SIC0","CIC0","BIC0","IC1","TIC1","SIC1","CIC1","BIC1","IC2","TIC2","SIC2","CIC2","BIC2","IC3","TIC3","SIC3","CIC3","BIC3","IC4","TIC4","SIC4","CIC4","BIC4","IC5","TIC5","SIC5","CIC5","BIC5","LP1","STN","Eig1Z","Eig1m","Eig1v","Eig1e","Eig1p","SEigZ","SEigm","SEigv","SEige","SEigp","VEA1","VEA2","VRA1","VRA2","VED1","VED2","VRD1","VRD2","VEZ1","VEZ2","VRZ1","VRZ2","VEm1","VEm2","VRm1","VRm2","VEv1","VEv2","VRv1","VRv2","VEe1","VEe2","VRe1","VRe2","VEp1","VEp2","VRp1","VRp2","NGS","MPC03","MPC04","MPC05","MPC06","MPC07","MPC08","MPC09","MPC10","piPC03","piPC04","piPC05","piPC06","piPC07","piPC08","piPC09","piPC10","TPC","piID","PCR","PCD","CID","BID","D.Dr03","D.Dr05","D.Dr06","D.Dr07","D.Dr08","D.Dr09","D.Dr10","D.Dr11","D.Dr12","T.N..N.","T.N..O.","T.N..S.","T.N..F.","T.N..Cl.","T.N..Br.","T.N..I.","T.O..O.","T.O..S.","T.O..F.","T.O..Cl.","T.O..Br.","T.O..I.","T.S..S.","T.S..F.","T.S..Cl.","T.F..F.","T.F..Cl.","T.Cl..Cl.","T.Cl..Br.","T.I..I.","W3D","J3D","H3D","AGDD","DDI","ADDD","G1","G2","RGyr","SPAN","SPAM","SPH","ASP","FDI","PJI3","L.Bw","SEig","DISPm","QXXm","QYYm","QZZm","DISPv","QXXv","QYYv","QZZv","DISPe","QXXe","QYYe","QZZe","DISPp","QXXp","QYYp","QZZp","G.N..N.","G.N..O.","G.N..S.","G.N..F.","G.N..Cl.","G.N..Br.","G.N..I.","G.O..O.","G.O..S.","G.O..F.","G.O..Cl.","G.O..Br.","G.O..I.","G.S..S.","G.S..F.","G.S..Cl.","G.F..F.","G.F..Cl.","G.Cl..Cl.","G.Cl..Br.","G.I..I."
395.54,6.82,35.41,57.86,37.44,63.83,0.61,1,0.65,2.2,58,29,60,31,16,39.5,3,3,9,0.15,1,0,15,29,24,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,339.763,80.842,1.394,140,364,157,330,15,21.148,2,2.073,0,62.5,6,39,151.426,190.345,0.282,11585,19261,11809,32059,28.385,62.753,2760,6.798,105.546,52.113,2318,134.276,6.016,7254.5,31.175,3696,22909,31.452,302.457,10115,2226.381,2226.786,3156.542,2228.282,3360.262,1.364,1.687,1.687,1.229,1.686,1.16,2.618,3.374,22.325,169.078,20.313,14.237,11.893,9.218,7.571,6.214,0.7,0.459,0.305,0.192,0.124,0.082,16.757,10.163,7.111,5.087,3.654,2.637,0.578,0.328,0.182,0.106,0.06,0.035,20.313,14.237,11.893,9.218,7.571,6.214,89.19,4.24,232.102,87.441,21.411,11.642,6.913,8.596,0.984,0.55,0.3,0.166,0.094,0.889,836,396,13.655,2.266,37.139,136,1576,164,13,1.774,3.083,3.908,8.373,3.866,4.818,1586.546,23109.55,1.662,5.615,3.635,1.715,52.857,0.185,0.3,0.478,1.394,80.842,0.238,4.464,0.229,2.594,150.428,0.443,3.264,0.425,3.888,225.524,0.664,1.97,0.638,4.522,262.253,0.772,1.336,0.741,4.72,273.763,0.806,1.138,0.774,4.789,277.763,0.818,1.069,0.785,2.405,5.375,160.676,160.708,233.419,160.816,249.37,1.143,1.14,-4.252,1.134,-5.378,4.14,0.143,3343.96,115.309,5.284,0.182,180.086,6.21,5.29,0.182,179.067,6.175,5.29,0.182,179.069,6.175,5.256,0.181,181.594,6.262,5.29,0.182,179.068,6.175,5.251,0.181,181.893,6.272,39,48,61,76,75,88,95,90,86,112,200.75,346.5,441.625,692.438,962.141,1097.406,1225.918,1130,10368.06,9.175,104.164,59.101,29.177,0,0,332.842,0,0,0,0,0,0,0,27,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8601.955,3.251,476.433,296.619,1192.967,41.137,79.549,35.217,9.421,8.122,0.374,0.958,0.728,0.713,0.946,9.1,98.633,3.082,60.973,62.692,604.149,9.762,80.418,86.527,581.804,0.419,150.781,170.076,1026.927,0.786,88.557,96.304,612.406,0,23.02,0,0,0,0,0,17.35,0,0,0,0,0,0,0,0,0,0,0,0,0
394.56,6.69,35.89,58.64,37.99,61.83,0.61,0.99,0.64,2.13,59,29,61,31,16,39.5,3,3,9,0.15,1,0,15,30,24,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,347.076,83.075,1.408,140,348,157,322,15,21.148,2,2.073,0,62,6,39,151.426,190.345,0.282,11585,18645,11809,30185,28.385,62.753,2760,6.798,105.546,52.113,2318,134.276,6.016,7254.5,31.175,3696,22909,31.452,302.457,10115,2229.381,2229.771,3142.15,2231.313,3343.617,1.364,1.686,1.686,1.233,1.685,1.164,2.118,3.596,20.296,201.835,20.313,14.237,11.893,9.218,7.571,6.214,0.7,0.459,0.305,0.192,0.124,0.082,16.887,10.228,7.184,5.106,3.667,2.646,0.582,0.33,0.184,0.106,0.06,0.035,20.313,14.237,11.893,9.218,7.571,6.214,88.901,4.24,232.102,86.444,21.411,11.642,6.913,8.596,0.99,0.55,0.3,0.166,0.094,0.889,836,396,13.655,2.266,37.139,136,1576,164,13,1.774,3.083,3.908,8.373,3.866,4.818,1586.546,23109.55,1.662,5.615,3.635,1.715,52.857,0.185,0.3,0.478,1.408,83.075,0.239,4.475,0.23,2.64,155.741,0.449,3.243,0.431,3.912,230.837,0.665,1.97,0.639,4.535,267.566,0.771,1.348,0.741,4.73,279.076,0.804,1.153,0.773,4.798,283.076,0.816,1.085,0.784,2.405,5.375,160.96,160.99,231.966,161.103,247.678,1.036,1.034,-3.738,1.026,-4.784,4.14,0.143,3343.96,115.309,5.284,0.182,180.086,6.21,5.289,0.182,179.147,6.177,5.289,0.182,179.148,6.178,5.259,0.181,181.329,6.253,5.289,0.182,179.148,6.178,5.255,0.181,181.607,6.262,39,48,61,76,75,88,95,90,86,112,200.75,346.5,441.625,692.438,962.141,1097.406,1225.918,1130,10368.06,9.175,104.164,59.101,29.177,0,0,332.842,0,0,0,0,0,0,9,27,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9002.604,3.255,480.632,305.173,1227.979,41.626,79.364,35.143,9.466,8.018,0.369,0.96,0.727,0.709,0.946,9.1,100.122,1.447,60.645,62.434,598.032,9.928,81.866,88.224,605.242,0.345,153.471,173.554,1054.348,0.789,90.276,98.339,638.581,7.11,22.6,0,0,0,0,0,10.66,0,0,0,0,0,0,0,0,0,0,0,0,0
459.63,7.79,38.86,58.9,41.15,71.83,0.66,1,0.7,2.18,59,33,63,37,22,48.5,5,6,4,0.06,1,0,21,26,27,3,1,1,1,0,0,0,1,0,1,4,0,0,1,0,0,0,2,347.076,91.728,1.555,178,428.444,212,436.667,26,25.255,2.041,2.15,0,70,11,54,176.161,211.879,0.237,15575,24184.11,16936,40224.32,30.857,110.086,3496,6.621,135.67,65.068,2668.586,265.192,5.297,8690.5,39.319,5902,43892,25.121,315.112,35891,2781.393,2780.357,3325.561,2805.103,3463.955,1.134,1.411,1.412,1.191,1.402,1.146,1.882,5.839,27.565,201.195,22.786,16.097,14.444,12.617,10.72,8.54,0.69,0.435,0.278,0.178,0.114,0.073,19.446,12.19,9.353,7.21,5.42,3.737,0.589,0.329,0.18,0.102,0.058,0.032,22.139,15.974,14.211,12.664,11.159,8.679,104.127,4.446,312.01,119.06,22.035,9.606,4.652,6.414,0.988,0.583,0.348,0.193,0.105,1,930,419,12.697,1.901,33.928,157,1811,130,10,0.467,2.991,3.807,8.78,4.514,5.019,2010.05,30694.31,1.797,5.92,3.571,1.751,47.962,0.149,0.238,0.4,1.555,91.728,0.264,4.328,0.25,2.997,176.825,0.509,2.886,0.482,4.394,259.262,0.747,1.488,0.707,4.916,290.056,0.836,0.966,0.79,5.226,308.321,0.888,0.657,0.84,5.226,308.321,0.888,0.657,0.84,2.453,8.743,172.848,172.771,208.029,174.532,217.095,1.637,1.671,-3.629,1.054,-4.761,4.352,0.132,568.42,17.225,5.665,0.172,225.115,6.822,5.681,0.172,222.679,6.748,5.681,0.172,222.645,6.747,5.665,0.172,224.524,6.804,5.678,0.172,223.053,6.759,5.66,0.172,224.945,6.817,52,71,94,117,125,141,154,153,165,165.5,295.813,497.063,673.5,993.672,1348.203,1510.453,1775.473,3020,66172.34,21.911,712.073,68.435,33.185,0,92.621,447.065,0,0,159.903,0,0,0,10,9,7,37,0,0,0,0,4,14,0,0,0,0,16,0,0,0,0,0,0,8287.971,2.489,416.088,280.948,1217.19,41.261,103.816,43.917,8.959,7.469,0.356,0.962,0.658,0.703,0.917,6.7,101.794,5.939,83.247,85.869,624.422,1.147,91.246,100.564,567.324,0.096,171.18,200.612,868.819,0.204,98.433,110.249,610.455,8.46,6.66,5.64,26.29,0,0,0,0,3.39,9.71,0,0,0,0,11.48,0,0,0,0,0,0
263.41,6.42,25.97,39.99,27.58,36.67,0.63,0.98,0.67,1.83,41,20,43,22,15,29.5,3,3,2,0.05,0,0,15,21,19,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,219.66,46.71,1.139,102,196,119,220,14,15.197,2.069,2.138,0.001,40.5,5,28,86.632,77.7,0.234,3398,4702,3483,6486,19.491,10.63,777,4.089,67,36.596,613.533,50.792,2.234,1184,21.674,1351,6347,15.441,113.985,3475,575.952,575.961,627.749,576.183,642.067,1.681,2.282,2.282,2.122,2.281,2.083,0.393,0.515,4.718,70.866,13.786,9.881,8.221,7.092,6.027,4.722,0.689,0.449,0.283,0.182,0.116,0.076,12.049,7.434,5.329,4.07,2.98,1.964,0.602,0.338,0.184,0.104,0.057,0.032,13.786,9.881,8.221,7.092,6.027,4.722,59.9,3.251,151.796,52.4,13.141,6.064,2.86,3.984,1.014,0.557,0.334,0.195,0.108,0.8,306,143,7.15,0.98,13.1,50,554,62,3,0.648,2.228,2.96,7.381,3.322,4.292,562.353,5734.804,1.619,5.099,2.843,1.627,29.584,0.277,0.411,0.838,1.139,46.71,0.213,4.218,0.201,2.066,84.692,0.386,3.292,0.365,3.382,138.666,0.631,1.975,0.598,3.985,163.395,0.744,1.372,0.704,4.12,168.905,0.769,1.238,0.728,4.12,168.905,0.769,1.238,0.728,2.42,5.193,60.098,60.099,66.448,60.126,68.261,0.143,0.143,-0.439,0.14,-0.6,3.976,0.199,127.931,6.397,4.398,0.22,106.846,5.342,4.39,0.219,107.331,5.367,4.39,0.219,107.331,5.367,4.368,0.218,108.448,5.422,4.39,0.219,107.336,5.367,4.362,0.218,108.744,5.437,29,39,52,62,63,70,68,56,44,102,191.25,334,436.625,681.188,926.016,1030.219,1109.637,561,6512.431,11.609,67.105,41.151,20.312,0,55.357,132.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3045.414,3.321,1246.235,148.557,598.885,29.214,59.2,23.633,4.569,4.648,0.337,0.928,0.287,0.716,0.887,1.6,70.657,4.305,51.162,51.728,133.449,6.03,68.97,70.983,176.664,0.01,122.467,128.823,313.882,0.409,75.615,78.167,193.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298.84,7.47,26.1,39.53,27.69,41.44,0.65,0.99,0.69,1.97,40,21,42,23,15,30.5,3,3,1,0.02,0,0,15,19,18,2,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,212.877,55.108,1.378,108,219.605,125,240.111,15,15.603,2,2.102,0,43.333,6,31,92.922,85.333,0.233,3897,5466.938,3993,7621.112,20.407,24.536,896,4.267,71.927,38.704,683,53.969,2.211,1425.5,22.997,1544,7411,15.544,127.21,4009,648.392,648.121,719.567,657.452,731.614,1.671,2.315,2.315,2.12,2.292,2.089,0.896,1.918,8.747,84.777,14.656,10.237,9.015,7.404,6.015,5.257,0.698,0.445,0.291,0.185,0.116,0.077,12.976,7.696,5.94,4.25,2.925,2.247,0.618,0.335,0.192,0.106,0.056,0.033,15.156,10.526,9.424,7.693,6.182,5.471,65.75,3.312,162.449,65.187,14.307,6.421,3.341,4.375,1.004,0.572,0.326,0.179,0.11,1,341,160,7.619,1.066,14.508,55,637,65,5,0.532,2.367,3.051,7.518,3.154,4.361,640.81,6735.84,1.781,5.127,2.924,1.64,31.813,0.269,0.402,0.805,1.378,55.108,0.259,3.944,0.245,2.485,99.412,0.467,2.837,0.441,3.801,152.048,0.714,1.521,0.675,4.553,182.122,0.856,0.769,0.809,4.653,186.122,0.874,0.669,0.827,4.653,186.122,0.874,0.669,0.827,2.408,5.375,64.377,64.347,72.445,65.407,73.891,0.933,0.947,-0.845,0.49,-1.007,4.096,0.195,130.726,6.225,4.504,0.214,114.374,5.446,4.501,0.214,114.404,5.448,4.501,0.214,114.39,5.447,4.474,0.213,116.319,5.539,4.496,0.214,114.865,5.47,4.469,0.213,116.535,5.549,31,40,52,68,66,76,76,64,56,105.5,195.5,353.75,470.188,741.375,1007.859,1137.797,1286.191,625,7379.599,11.807,76.161,43.08,21.296,0,0,209.595,0,0,0,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2828.69,3.331,132.87,141.435,567.551,28.378,60.051,26.777,4.949,4.371,0.331,0.923,0.307,0.712,0.731,1.8,68.484,9.175,88.282,88.847,182.304,7.815,80.582,82.59,177.279,0.125,131.696,138.039,297.205,0.542,88.955,91.501,194.126,4.57,0,0,0,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348.48,6.97,31.59,49.64,33.26,57.5,0.63,0.99,0.67,2.21,50,26,52,28,19,38,3,3,4,0.08,1,0,18,24,22,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,282.193,70.046,1.401,130,318,147,321,16,18.781,1.95,2.059,0,55,7,34,126.919,135,0.24,7434,11858,7573,18670,25.062,100.08,1755,5.4,94.057,47.389,1483.833,95.513,3.546,3474.5,28.354,2645,14440,27.058,221.826,6819,1242.411,1242.472,1489.4,1243.424,1553.094,1.569,2.23,2.23,1.883,2.229,1.811,2.638,3.763,18.905,121.195,18.355,12.614,11.176,8.63,6.85,5.346,0.706,0.451,0.302,0.192,0.122,0.08,15.059,8.997,6.611,4.558,3.14,1.916,0.579,0.321,0.179,0.101,0.056,0.029,18.355,12.614,11.176,8.63,6.85,5.346,77.86,3.825,208.942,85.36,18.252,8.707,5.224,6.112,0.964,0.569,0.308,0.161,0.089,1,521,248,9.538,1.538,24.769,88,1222,102,13,1.083,2.701,3.437,8.127,4.162,4.666,1117.141,14263.56,1.808,5.529,3.244,1.698,43.957,0.228,0.352,0.643,1.401,70.046,0.248,4.243,0.235,2.712,135.622,0.481,2.931,0.456,4.253,212.644,0.754,1.391,0.714,4.854,242.683,0.86,0.79,0.815,4.949,247.438,0.877,0.695,0.831,4.949,247.438,0.877,0.695,0.831,2.375,5.193,100.213,100.218,121.293,100.296,126.8,0.786,0.784,-2.784,0.778,-3.589,4.323,0.166,243.803,9.377,5.006,0.193,155.14,5.967,4.995,0.192,156.094,6.004,4.995,0.192,156.095,6.004,4.975,0.191,157.613,6.062,4.995,0.192,156.095,6.004,4.97,0.191,157.941,6.075,37,45,56,67,71,81,88,93,86,124.125,224.063,411.719,600.406,969.867,1446.223,2081.742,2657.021,893,24444.62,27.374,265.556,52.832,26.227,0,83.17,187.699,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5570.331,3.232,162.64,222.813,886.096,35.444,68.496,30.857,6.812,6.929,0.372,0.954,0.487,0.712,0.954,3.6,85.085,7.068,70.954,71.156,322.614,3.744,96.786,97.503,339.139,0.248,179.866,182.131,624.101,0.189,106.828,107.738,362.812,4.4,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381.55,6.81,36.28,54.98,38.31,56.33,0.65,0.98,0.68,1.94,56,29,60,33,23,44.5,5,8,4,0.07,0,0,23,27,27,1,1,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,3,325.212,68.448,1.222,158,308,189,349,24,23.057,2.148,2.215,0,59.5,9,47,148.343,169.862,0.249,11160,15560,12263,23464,27.765,13.379,2463,6.067,113.296,56.852,1833.964,205.829,4.946,5736,34.081,5219,43950,16.954,201.717,43525,1861.667,1861.697,1946.728,1862.036,1965.713,1.129,1.513,1.513,1.461,1.513,1.45,1.736,4.653,15.205,114.055,19.631,14.293,12.622,11.131,9.689,8.286,0.677,0.433,0.274,0.174,0.11,0.071,16.643,10.717,8.214,6.277,4.718,3.497,0.574,0.325,0.179,0.098,0.054,0.03,19.631,14.293,12.622,11.131,9.689,8.286,86.788,4.201,263.585,93.644,18.359,7.983,3.664,5.054,0.974,0.576,0.344,0.198,0.113,0.875,782,346,11.931,1.948,28.882,125,1301,127,2,0.335,2.883,3.71,8.391,4.073,4.829,1506.33,20667.47,1.625,5.765,3.498,1.716,39.823,0.155,0.248,0.416,1.222,68.448,0.21,4.585,0.198,2.42,135.5,0.417,3.388,0.393,3.821,213.987,0.658,1.986,0.62,4.673,261.702,0.805,1.134,0.759,4.843,271.212,0.834,0.964,0.786,4.914,275.212,0.846,0.893,0.798,2.533,8.707,134.246,134.248,141.062,134.277,142.665,0.393,0.392,-1.392,0.389,-1.794,3.913,0.135,1709.747,58.957,5.306,0.183,188.38,6.496,5.289,0.182,189.918,6.549,5.289,0.182,189.919,6.549,5.279,0.182,191.47,6.602,5.289,0.182,189.924,6.549,5.276,0.182,191.843,6.615,46,64,88,116,124,146,170,178,194,177.75,366.875,726.5,1171.344,2074.688,3560.43,5292.551,8155.564,3426,556598.9,162.463,6237.291,60.865,29.207,0,55.877,314.551,0,0,202.488,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7891.191,2.234,192.822,281.828,1121.797,40.064,78.579,35.243,8.188,6.455,0.34,0.965,0.691,0.718,0.907,7.7,93.221,7.069,53.419,53.453,455.841,10.763,70.93,71.053,550.942,0.062,135.56,135.948,901.484,0.755,78.348,78.504,590.622,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267.4,6.52,25.48,40.32,27.04,40.42,0.62,0.98,0.66,2.02,41,20,43,22,12,28,3,3,4,0.09,0,0,12,21,18,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,219.66,52.362,1.277,104,204,124,222,15,15.079,2.051,2.125,0.001,41.5,5,33,85.405,73,0.218,3214,4606,3304,6590,19.251,8.062,730,3.842,68.939,37.508,568.5,47.063,1.839,1041.5,22.327,1342,6277,14.89,110.557,3256,611.678,611.699,667.626,611.917,680.096,1.791,2.12,2.12,1.961,2.119,1.93,2.205,5.516,13.183,87.421,13.839,9.816,8.371,7.454,6.174,5.004,0.692,0.446,0.279,0.177,0.114,0.076,11.626,7.384,5.501,4.242,3.162,2.307,0.581,0.336,0.183,0.101,0.059,0.035,13.839,9.816,8.371,7.454,6.174,5.004,59.847,3.159,156.616,52.4,13.351,5.779,2.525,3.858,1.007,0.566,0.348,0.203,0.113,1,270,126,6.3,0.93,12.3,46,540,50,2,0.432,2.133,2.82,7.397,2.295,4.294,535.75,5399.498,1.601,4.987,2.703,1.63,29.48,0.3,0.436,0.948,1.277,52.362,0.238,4.08,0.227,2.347,96.22,0.438,3.011,0.418,3.498,143.421,0.653,1.859,0.623,4.101,168.15,0.766,1.256,0.73,4.236,173.66,0.791,1.122,0.754,4.236,173.66,0.791,1.122,0.754,2.49,5.375,63.109,63.111,68.896,63.135,70.285,0.393,0.392,-1.392,0.389,-1.795,3.859,0.193,134.618,6.731,4.403,0.22,106.845,5.342,4.41,0.22,105.963,5.298,4.41,0.22,105.963,5.298,4.408,0.22,106.825,5.341,4.41,0.22,105.965,5.298,4.404,0.22,107.074,5.354,30,42,54,66,60,66,60,48,36,81.5,136.25,222.875,216.875,316.125,386.063,419.625,435.797,540,3010.316,5.575,27.854,41.079,20.334,0,0,194.942,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776.95,3.649,575.861,135.461,585.192,28.546,64.952,23.957,4.099,4.18,0.319,0.911,0.24,0.7,0.808,1,70.086,3.211,54.224,54.66,108.816,5.319,71.443,72.995,144.208,0.043,127.267,132.167,257.162,0.368,78.146,80.114,157.835,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289.83,7.25,25.22,39.64,26.9,43.36,0.63,0.99,0.67,2.17,40,20,41,21,12,27,2,2,8,0.2,0,0,12,20,17,1,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,212.877,56.952,1.424,100,205.605,116,214.111,13,13.405,1.805,1.955,0.001,41.833,6,31,86.181,76,0.228,3142,4566.938,3025,6198.556,19.355,95.812,760,4,67.004,35.991,650.167,27.553,2.232,1125,21.468,1220,5368,21.694,128.888,2371,623.908,623.66,710.221,632.476,726.102,2.12,2.563,2.564,2.307,2.535,2.267,2.316,5.273,15.044,85.742,14.588,9.538,8.642,6.757,5.35,4.31,0.729,0.454,0.298,0.183,0.116,0.078,12.639,7.093,5.667,3.821,2.622,1.833,0.632,0.338,0.195,0.103,0.057,0.033,15.088,9.826,9.012,7.102,5.726,4.551,61.682,3.052,147.675,60.219,15.046,6.4,3.413,4.814,1.013,0.576,0.329,0.179,0.104,1,259,128,6.4,1,13.4,48,560,54,20,1.329,2.166,2.88,7.392,3.484,4.291,547.219,5617.97,1.761,4.944,2.722,1.629,35.876,0.353,0.517,1.093,1.424,56.952,0.268,3.898,0.256,2.234,89.358,0.42,3.088,0.402,3.298,131.909,0.62,2.024,0.594,4.206,168.248,0.79,1.116,0.757,4.515,180.612,0.848,0.807,0.813,4.584,183.367,0.861,0.738,0.825,2.461,3.584,64.744,64.721,74.536,65.594,76.561,1.04,1.053,-1.359,0.599,-1.602,3.791,0.19,138.005,6.9,4.398,0.22,103.398,5.17,4.402,0.22,102.496,5.125,4.402,0.22,102.488,5.124,4.38,0.219,104.812,5.241,4.402,0.22,102.771,5.139,4.372,0.219,105.22,5.261,29,37,46,55,49,49,41,33,23,79.5,132.5,216,209.813,285.094,343.406,397.406,410.063,423,2964.65,7.009,28.658,39.878,20.31,0,0,139.693,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2708.794,4.431,176.432,135.44,552.209,27.61,66.746,24.95,4.411,4.541,0.337,0.933,0.337,0.695,0.834,2.1,68.977,9.918,47.018,47.108,140.464,8.916,56.916,57.236,156.189,0.103,104.928,105.938,272.24,0.656,63.077,63.483,171.584,0,2.53,0,0,5.09,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0
295.46,6.29,28.68,46.09,30.56,43.08,0.61,0.98,0.65,1.96,47,22,49,24,12,30,3,3,6,0.12,0,0,12,25,20,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,261.066,58.531,1.245,112,216,130,230,15,16.466,2.047,2.114,0,45.5,5,33,99.601,94.455,0.235,4536,6274,4702,8740,21.43,9.055,1039,4.498,76.319,40.482,858.5,64.883,3.225,1737,24.097,1723,8700,19.004,147.012,4116,893.036,893.068,1025.376,893.552,1059.885,1.633,1.89,1.89,1.663,1.889,1.613,2.153,5.458,12.169,77.925,15.253,10.789,9.218,7.892,6.257,5.047,0.693,0.45,0.288,0.188,0.123,0.081,13.118,8.347,6.245,4.741,3.386,2.434,0.596,0.348,0.195,0.113,0.066,0.039,15.253,10.789,9.218,7.892,6.257,5.047,65.844,3.439,171.011,56.624,15.267,7.083,3.594,4.915,1.043,0.565,0.333,0.181,0.099,1,380,177,8.045,1.054,16.364,61,736,72,2,0.405,2.379,3.134,7.649,3.369,4.43,723.998,7947.244,1.62,5.1,3.012,1.652,34.139,0.256,0.387,0.753,1.245,58.531,0.224,4.309,0.215,2.089,98.198,0.376,3.465,0.361,3.321,156.072,0.598,2.234,0.574,4.001,188.046,0.72,1.554,0.692,4.321,203.066,0.778,1.234,0.747,4.321,203.066,0.778,1.234,0.747,2.44,5.375,84.043,84.046,96.731,84.093,100.128,0.393,0.392,-1.392,0.389,-1.795,3.875,0.176,208.003,9.455,4.617,0.21,121.149,5.507,4.621,0.21,120.31,5.469,4.621,0.21,120.31,5.469,4.618,0.21,121.006,5.5,4.621,0.21,120.312,5.469,4.616,0.21,121.177,5.508,32,42,51,62,56,62,60,58,52,81.5,131.25,211.875,198.375,286.375,343.438,407.25,465.797,613,3201.566,5.223,29.187,45.074,22.277,0,0,231.574,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4157.84,3.599,594.017,176.929,769.22,32.733,67.262,26.337,5.227,4.673,0.315,0.92,0.345,0.7,0.771,2.2,80.131,4.349,54.512,55.246,170.842,6.021,73.806,76.415,223.184,0.039,134.607,142.848,390.008,0.404,81.22,84.529,243.335,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
